method,runs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,worst_fold_RMSE
No Aug + Two-stage,15,0.150720950961113,0.016884784915363816,0.11818854659795759,0.01366231583328469,0.40203224420547484,0.19718594076576562,0.1929525136947631
Aug + Two-stage,15,0.13124941984812416,0.01601083629559581,0.10422302186489102,0.01315237618208332,0.5344542463620504,0.18693921917331793,0.1746354550123214
Aug + Stage1-only,15,0.17829365134239195,0.011537197999914857,0.1440916001796722,0.010555863436078927,0.1802285114924113,0.17172263074599647,0.1972277611494064
Aug + Stage2-only,15,0.14138969331979748,0.021222904331788372,0.11111178348461785,0.014978409319664565,0.4478894829750061,0.24868389751635364,0.1824380755424499
