method,n_predictions,mean_abs_error,median_abs_error,q75_abs_error,q90_abs_error,max_abs_error,pct_abs_error_gt_0.20
No Aug + Two-stage,480,0.11818854699512499,0.096738935,0.17560899500000002,0.24763324500000003,0.47506976,18.958333333333332
Aug + Two-stage,480,0.10422302138266042,0.0872508275,0.1491886375,0.22103688900000001,0.41533947,14.791666666666666
Aug + Stage1-only,480,0.14409160060145834,0.12257206500000001,0.212117855,0.312688897,0.43247008,28.333333333333332
Aug + Stage2-only,480,0.11111178311381249,0.0871506925,0.1643915175,0.23825525900000005,0.50481105,17.708333333333336
