effect,baseline,candidate,baseline_RMSE,candidate_RMSE,RMSE_improvement,relative_improvement_pct,folds_improved,folds_worse,best_fold_gain_pct,worst_fold_gain_pct,interpretation
SMILES augmentation,No Aug + Two-stage,Aug + Two-stage,0.150720950961113,0.13124941984812416,0.019471531112988806,12.918927985010267,15,0,32.030458376867884,3.1921727904746273,Tests whether randomized equivalent SMILES improve robustness to molecular string representation.
Encoder adaptation,Aug + Stage1-only,Aug + Two-stage,0.17829365134239195,0.13124941984812416,0.047044231494267764,26.38581415550511,15,0,44.664563672380474,6.213967729105681,"Tests whether frozen ChemBERTa embeddings are sufficient, or whether the encoder must adapt to binding-energy regression."
Stage 1 warm-up,Aug + Stage2-only,Aug + Two-stage,0.14138969331979748,0.13124941984812416,0.010140273471673341,7.171861847622714,12,3,22.47874985747205,-4.071518761562688,Tests whether fitting the regression head before encoder fine-tuning stabilizes task adaptation.
