model,n_cases,n_variant_rows,original_RMSE,original_MAE,randomized_RMSE,randomized_MAE,all_variants_RMSE,all_variants_MAE,RMSE_degradation_randomized_minus_original,mean_prediction_std_across_variants,median_prediction_std_across_variants,q90_prediction_std_across_variants,mean_prediction_range_across_variants,q90_prediction_range_across_variants,mean_abs_variant_delta,q90_max_abs_variant_delta
No Aug + Two-stage,32,114,0.14692103991123662,0.10869618378721087,0.17310987423472537,0.13979793896639942,0.16617581274998058,0.13106762172311845,0.026188834323488758,0.08050672347160626,0.07829011203018241,0.14557401664145764,0.2035624459385872,0.3463625192642213,0.07882531313669114,0.2900222778320313
Aug + Two-stage,32,114,0.13228319947687014,0.10128570428766635,0.15537504590920573,0.12339835871964411,0.14925423490798642,0.11719129782645737,0.023091846432335583,0.06280452061613515,0.061704177615244854,0.11216412791029841,0.16001028567552567,0.28256065845489503,0.05899090241818201,0.23198997974395755
