CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff,split
23680483,CHNaO2,C(=O)[O-].[Na+],67.997,2,0,40.1,4,13.5,-2.7456015842,-2.745873035,-2.745873035,-2.7457373096,0.0002714508000001,train
13351303,CH3LiO,[Li+].[CH2-]O,38.0,2,1,20.2,3,4.8,-2.7146806826,-2.7131352864,-2.7146806826,-2.7139079845,0.0015453962,test
59854993,C2H4KN,CC=[N-].[K+],81.16,1,0,1.0,4,13.5,-3.0098133668000004,-3.0101687655,-3.0101687655,-3.0099910661500004,0.0003553986999995,train
140647104,H2LiNO2,[Li+].N(O)[O-],55.0,3,2,55.3,4,6.0,-2.7406039408,-2.739491675,-2.7406039408,-2.7400478079,0.0011122657999997,train
129875527,C2H4LiN,[Li+].C=C[NH-],49.0,1,1,1.0,4,13.5,-3.0050414416,-3.0063983795,-3.0063983795,-3.00571991055,0.0013569379000002,train
58627710,BKN,[B]=[N-].[K+],63.92,1,0,1.0,3,4.8,-2.4553761895,-2.4506812883,-2.4553761895,-2.4530287389,0.0046949011999997,train
100982396,C2H3LiN-,[Li].[CH]=C[NH-],48.0,1,1,1.0,4,10.3,-2.9060622562,-2.896195006,-2.9060622562,-2.9011286311,0.0098672502000001,train
160408535,CH2NNaO,C=N[O-].[Na+],67.023,2,0,35.4,4,15.5,-2.7993502897,-2.8009349022,-2.8009349022,-2.80014259595,0.0015846124999998,train
159330689,BH3INa,[BH3-]I.[Na+],163.73,1,0,0.0,3,4.8,-2.5872175491,-2.5872621428,-2.5872621428,-2.58723984595,4.459370000020613e-05,train
101843487,C2H3CsO,C=C[O-].[Cs+],175.95,1,0,23.1,4,13.5,-2.9121391126,-2.912541625,-2.912541625,-2.9123403688,0.0004025124000004,train
11366948,CKNO,[C-]#[N+][O-].[K+],81.115,2,0,30.7,4,34.5,-2.6362991143,-2.635601954,-2.6362991143,-2.63595053415,0.0006971602999996,train
58997489,CH2BLi,[Li+].[B][CH2-],31.8,1,0,0.0,3,4.8,-2.6158991087,-2.6088128701,-2.6158991087,-2.6123559894,0.0070862385999999,train
158336150,C2H4IK,C[CH-]I.[K+],194.06,1,0,0.0,4,6.0,-2.8674050522,-2.8648922753,-2.8674050522,-2.86614866375,0.0025127769000001,test
142418848,CH3CsO2,C(O)[O-].[Cs+],179.939,2,1,43.3,4,6.0,-2.8762992902000004,-2.876939528,-2.876939528,-2.8766194091,0.0006402377999994,val
22900039,CH3LiO2,[Li+].[CH2-]OO,54.0,3,1,29.5,4,6.0,-2.8711709537,-2.8772450377000003,-2.8772450377000003,-2.8742079957,0.0060740840000002,val
153059879,C2H4BK,[B]C[CH2-].[K+],77.96,1,0,0.0,4,6.0,-2.9373169122,-2.9214245247000004,-2.9373169122,-2.9293707184500004,0.0158923874999996,train
158491745,Br3K,[K+].Br[Br-]Br,278.81,1,0,0.0,4,3.2,-2.3354953428,-2.3327921313,-2.3354953428,-2.33414373705,0.0027032115,test
23677314,CCsN,[C-]#N.[Cs+],158.923,2,0,23.8,3,12.8,-2.5330793219,-2.5318858678,-2.5330793219,-2.5324825948500003,0.0011934540999996,val
13215277,CHI2Li,[Li+].[CH-](I)I,273.8,1,0,0.0,4,6.0,-2.4728231867,-2.4757370329,-2.4757370329,-2.4742801098,0.0029138462000002,val
12605453,CH4LiN,[Li+].C[NH-],37.0,1,1,1.0,3,4.8,-2.8204843621,-2.8379876545,-2.8379876545,-2.8292360083,0.0175032924000002,train
11052230,CHBr2Li,[Li+].[CH-](Br)Br,179.8,1,0,0.0,4,6.0,-2.5043197149,-2.4906793988,-2.5043197149,-2.49749955685,0.0136403160999996,train
85850053,C2H2BrLi,[Li+].C=[C-]Br,112.9,1,0,0.0,4,13.5,-2.7155063289,-2.7141023251000003,-2.7155063289,-2.714804327,0.0014040037999993,test
129740401,Cl2IK,Cl[I-]Cl.[K+],236.91,1,0,0.0,4,6.0,-2.3511685877,-2.3497508823,-2.3511685877,-2.3504597350000003,0.0014177054000001,test
13358634,C2H4BrLi,[Li+].[CH2-]CBr,114.9,1,0,0.0,4,6.0,-2.8972897608,-2.9019278709000003,-2.9019278709000003,-2.89960881585,0.0046381101000001,val
