CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff
135046281,C2H2ClLi,[Li+].[CH-]=CCl,68.5,1,0,0.0,4,13.5,-2.7302012467999996,-2.7271159419999997,-2.7302012467999996,-2.7286585943999997,0.0030853047999999106
71368517,C2H3LiO,[Li+].[CH-]=CO,50.0,2,1,20.2,4,13.5,-2.8907181835,-2.8886230525000003,-2.8907181835,-2.8896706180000002,0.002095130999999917
11051568,CNNaO,C(=[N-])=O.[Na+],65.007,2,0,18.1,4,31.0,-2.6935241393,-2.6927271748,-2.6935241393,-2.69312565705,0.000796964500000108
23618828,KNO2-,N(=O)[O-].[K],85.104,3,0,52.5,4,7.5,-2.6031515661999998,-2.6025470716,-2.6031515661999998,-2.6028493188999997,0.000604494599999672
140584049,CH4NNaO,C[N-]O.[Na+],69.039,2,1,21.2,4,8.0,-2.9296757085,-2.9352677268000003,-2.9352677268000003,-2.9324717176500004,0.005592018300000223
157173515,CsIO2,[O-]I=O.[Cs+],291.809,2,0,40.1,4,13.5,-2.462228422,-2.4632410902,-2.4632410902,-2.4627347560999997,0.001012668200000011
105053,I3K,[K+].I[I-]I,419.8117,1,0,0.0,4,3.2,-2.3111067754000003,-2.3111561689999998,-2.3111561689999998,-2.3111314722,4.93935999994477e-05
58619450,CH2NORb,[CH-]=NO.[Rb+],129.501,3,1,32.6,4,15.5,-2.7984199475000002,-2.7815527426,-2.7984199475000002,-2.78998634505,0.016867204900000043
101218269,CKO2,[C](=O)[O-].[K+],83.108,2,0,40.1,4,13.5,-2.6581043817,-2.6542166086999996,-2.6581043817,-2.6561604952,0.0038877730000002053
140816890,C2H4ClNa,[CH2-]CCl.[Na+],86.49,1,0,0.0,4,6.0,-2.8865282965,-2.8870773908,-2.8870773908,-2.88680284365,0.0005490943000001636
162454502,C3HLi,[Li+].[CH]C#[C-],44.0,1,0,0.0,4,29.8,-2.7223320951,-2.7151571498,-2.7223320951,-2.71874462245,0.0071749453000000685
10964394,C2HK,C#[C-].[K+],64.13,1,0,0.0,3,10.8,-2.5866593724,-2.5864169773,-2.5866593724,-2.5865381748500003,0.0002423951000003477
58114169,BFKN,[B][N-]F.[K+],82.92,2,0,1.0,4,8.0,-2.5527406357999998,-2.5410230402,-2.5527406357999998,-2.546881838,0.011717595599999964
57847394,CH3BNa,[B-]C.[Na+],48.84,1,0,0.0,3,4.8,-2.6938189654,-2.6848038124999998,-2.6938189654,-2.68931138895,0.009015152900000434
58825830,C3H6Rb,C[CH][CH2-].[Rb+],127.55,1,0,0.0,4,3.2,-3.1628836396000004,-3.1439917089,-3.1628836396000004,-3.15343767425,0.018891930700000614
71417849,C2H4LiN,[Li+].[CH-]=CN,49.0,2,1,26.0,4,13.5,-2.9928212947999997,-2.9926658526,-2.9928212947999997,-2.9927435737,0.0001554421999996336
129657743,C2H3BLi,[Li+].[B]1C[CH-]1,44.8,1,0,0.0,4,15.5,-2.8512756944,-2.8478707024,-2.8512756944,-2.8495731984,0.0034049920000001066
10290740,KN3,[N-]=[N+]=[N-].[K+],81.119,2,0,3.0,4,15.5,-2.6765235779,-2.6758670983000004,-2.6765235779,-2.6761953381000003,0.0006564795999994821
59783154,HINNaO,[N-](O)I.[Na+],180.908,2,1,21.2,4,8.0,-2.561226044,-2.5606913142,-2.561226044,-2.5609586791,0.0005347298000000222
156621432,B2HLiO,[Li+].[B][B-]O,45.6,2,1,20.2,4,6.0,-2.6236734139999998,-2.6360463985,-2.6360463985,-2.62985990625,0.01237298450000024
59673869,C2H4NRb,C[C-]=N.[Rb+],127.53,2,1,23.9,4,13.5,-2.9892738637000003,-2.9878440754,-2.9892738637000003,-2.98855896955,0.0014297883000002898
86144840,C2H2LiN,[Li+].[C-]#CN,47.0,2,1,26.0,4,32.5,-2.8328876083,-2.8328915686,-2.8328915686,-2.83288958845,3.960299999938854e-06
101021057,CH4LiN2-,[Li].[C-](N)N,51.0,3,2,52.0,4,2.8,-2.9995307826,-2.9905716331999996,-2.9995307826,-2.9950512078999996,0.00895914940000031
102460855,CH5LiN2,[Li+].C(N)[NH-],52.0,2,2,27.0,4,6.0,-3.0760814203,-3.0640642229000004,-3.0760814203,-3.0700728216,0.012017197399999624
12460342,CHLiN2,[Li+].[CH-]=[N+]=[N-],48.0,2,0,2.0,4,29.0,-2.7444979245,-2.7446084423,-2.7446084423,-2.7445531834,0.00011051780000004285
13351308,C2H5Na,C[CH2-].[Na+],52.05,1,0,0.0,3,2.8,-2.9139792018999997,-2.9126926506,-2.9139792018999997,-2.91333592625,0.001286551299999772
58153045,C2H4KN,CN=[CH-].[K+],81.16,2,0,12.4,4,13.5,-2.9766326359999997,-2.9787112302,-2.9787112302,-2.9776719331,0.002078594200000339
167376163,CH3BNNa,B(=[N-])C.[Na+],62.84,1,0,1.0,4,15.5,-2.9015304259,-2.9048120268999997,-2.9048120268999997,-2.9031712263999996,0.0032816009999998563
140587702,CH2NRb,C=[N-].[Rb+],113.501,1,0,1.0,3,4.8,-2.6718209457,-2.670677063,-2.6718209457,-2.67124900435,0.0011438827000000984
12368256,C2H4LiN,[Li+].C1C[N-]1,49.0,1,0,1.0,4,13.5,-2.9887771647,-2.9875292861999996,-2.9887771647,-2.9881532254499996,0.001247878500000521
140361553,BrORb,[O-]Br.[Rb+],181.37,1,0,23.1,3,4.8,-2.3529604749,-2.3537624468000002,-2.3537624468000002,-2.3533614608500004,0.0008019719000000869
129710093,CHB2Li,[Li+].[B][CH-][B],41.6,1,0,0.0,4,6.0,-2.6371148645,-2.6410718543000002,-2.6410718543000002,-2.6390933594000003,0.003956989800000255
162781858,HNaO3,OO[O-].[Na+],71.996,3,1,52.5,4,3.2,-2.601324234,-2.5982604807,-2.601324234,-2.59979235735,0.0030637532999997497
59341893,CH5BNNa,[B-](C)N.[Na+],64.86,2,1,26.0,4,8.0,-3.0474237024,-3.0458680807,-3.0474237024,-3.04664589155,0.0015556217000001205
13005318,CHN2Na,C(=N)=[N-].[Na+],64.022,2,1,24.9,4,29.0,-2.7839364827999997,-2.7852999294,-2.7852999294,-2.7846182060999998,0.0013634466000000955
11815827,CH2BrLi,[Li+].[CH2-]Br,100.9,1,0,0.0,3,4.8,-2.5478991869,-2.5389618214,-2.5478991869,-2.54343050415,0.008937365500000016
23680483,CHNaO2,C(=O)[O-].[Na+],67.997,2,0,40.1,4,13.5,-2.7456015842,-2.7458730350000002,-2.7458730350000002,-2.7457373096,0.0002714508000001281
13351303,CH3LiO,[Li+].[CH2-]O,38.0,2,1,20.2,3,4.8,-2.7146806826,-2.7131352864,-2.7146806826,-2.7139079845,0.0015453962000000487
59854993,C2H4KN,CC=[N-].[K+],81.16,1,0,1.0,4,13.5,-3.0098133668000004,-3.0101687655,-3.0101687655,-3.0099910661500004,0.0003553986999995651
140647104,H2LiNO2,[Li+].N(O)[O-],55.0,3,2,55.3,4,6.0,-2.7406039408,-2.739491675,-2.7406039408,-2.7400478079,0.0011122657999997898
129875527,C2H4LiN,[Li+].C=C[NH-],49.0,1,1,1.0,4,13.5,-3.0050414416,-3.0063983795,-3.0063983795,-3.00571991055,0.0013569379000002435
58627710,BKN,[B]=[N-].[K+],63.92,1,0,1.0,3,4.8,-2.4553761895,-2.4506812883,-2.4553761895,-2.4530287389,0.0046949011999997126
100982396,C2H3LiN-,[Li].[CH]=C[NH-],48.0,1,1,1.0,4,10.3,-2.9060622562,-2.8961950059999997,-2.9060622562,-2.9011286310999997,0.009867250200000122
160408535,CH2NNaO,C=N[O-].[Na+],67.023,2,0,35.4,4,15.5,-2.7993502897,-2.8009349022,-2.8009349022,-2.8001425959499997,0.00158461249999986
159330689,BH3INa,[BH3-]I.[Na+],163.73,1,0,0.0,3,4.8,-2.5872175491,-2.5872621428,-2.5872621428,-2.58723984595,4.459370000020613e-05
101843487,C2H3CsO,C=C[O-].[Cs+],175.95,1,0,23.1,4,13.5,-2.9121391126,-2.9125416250000002,-2.9125416250000002,-2.9123403688,0.0004025124000004432
11366948,CKNO,[C-]#[N+][O-].[K+],81.115,2,0,30.7,4,34.5,-2.6362991143,-2.635601954,-2.6362991143,-2.63595053415,0.0006971602999996662
58997489,CH2BLi,[Li+].[B][CH2-],31.8,1,0,0.0,3,4.8,-2.6158991087,-2.6088128701,-2.6158991087,-2.6123559894,0.007086238599999906
158336150,C2H4IK,C[CH-]I.[K+],194.06,1,0,0.0,4,6.0,-2.8674050522,-2.8648922753,-2.8674050522,-2.8661486637499998,0.00251277690000018
142418848,CH3CsO2,C(O)[O-].[Cs+],179.939,2,1,43.3,4,6.0,-2.8762992902000004,-2.876939528,-2.876939528,-2.8766194091,0.0006402377999994435
22900039,CH3LiO2,[Li+].[CH2-]OO,54.0,3,1,29.5,4,6.0,-2.8711709537,-2.8772450377000003,-2.8772450377000003,-2.8742079957,0.006074084000000202
153059879,C2H4BK,[B]C[CH2-].[K+],77.96,1,0,0.0,4,6.0,-2.9373169122,-2.9214245247000004,-2.9373169122,-2.9293707184500004,0.01589238749999966
158491745,Br3K,[K+].Br[Br-]Br,278.81,1,0,0.0,4,3.2,-2.3354953428,-2.3327921312999997,-2.3354953428,-2.33414373705,0.00270321150000008
23677314,CCsN,[C-]#N.[Cs+],158.923,2,0,23.8,3,12.8,-2.5330793219,-2.5318858678000002,-2.5330793219,-2.5324825948500003,0.0011934540999996024
13215277,CHI2Li,[Li+].[CH-](I)I,273.8,1,0,0.0,4,6.0,-2.4728231867,-2.4757370329,-2.4757370329,-2.4742801098,0.0029138462000002363
12605453,CH4LiN,[Li+].C[NH-],37.0,1,1,1.0,3,4.8,-2.8204843620999998,-2.8379876545,-2.8379876545,-2.8292360082999997,0.01750329240000026
11052230,CHBr2Li,[Li+].[CH-](Br)Br,179.8,1,0,0.0,4,6.0,-2.5043197149,-2.4906793988,-2.5043197149,-2.4974995568500002,0.013640316099999605
85850053,C2H2BrLi,[Li+].C=[C-]Br,112.9,1,0,0.0,4,13.5,-2.7155063288999997,-2.7141023251000003,-2.7155063288999997,-2.714804327,0.001404003799999387
129740401,Cl2IK,Cl[I-]Cl.[K+],236.91,1,0,0.0,4,6.0,-2.3511685877,-2.3497508823,-2.3511685877,-2.3504597350000003,0.001417705400000191
13358634,C2H4BrLi,[Li+].[CH2-]CBr,114.9,1,0,0.0,4,6.0,-2.8972897608,-2.9019278709000003,-2.9019278709000003,-2.89960881585,0.004638110100000148
12585694,C3H3Li,[Li+].C=C=[CH-],46.0,1,0,0.0,4,26.3,-2.9153836465,-2.9182831624,-2.9182831624,-2.91683340445,0.002899515899999816
11018800,C3H3Na,CC#[C-].[Na+],62.05,1,0,0.0,4,29.8,-2.9201696058,-2.9206316272999997,-2.9206316272999997,-2.92040061655,0.00046202149999974296
58676901,CHBNNa,[B][C-]=N.[Na+],60.83,2,1,23.9,4,15.5,-2.6941603501999998,-2.6865979409,-2.6941603501999998,-2.6903791455499997,0.007562409299999739
59522958,Cl2CsF,F[Cl-]Cl.[Cs+],222.81,2,0,0.0,4,6.0,-2.3922054658,-2.3939513299999997,-2.3939513299999997,-2.3930783979,0.0017458641999996694
23696324,C2H6KN,C[N-]C.[K+],83.17,1,0,1.0,4,6.0,-3.1467530459,-3.1462688108999997,-3.1467530459,-3.1465109283999997,0.00048423500000049913
162445248,C2H2NNa,C#C[NH-].[Na+],63.03,1,1,1.0,4,32.5,-2.8408958215,-2.8438573868,-2.8438573868,-2.84237660415,0.002961565299999691
160040791,ClHNNa,[NH-]Cl.[Na+],73.46,1,1,1.0,3,4.8,-2.4649591103,-2.4648724158,-2.4649591103,-2.46491576305,8.669450000020618e-05
23666607,C2H8BLi,[Li+].[BH2-](C)C,49.9,1,0,0.0,4,6.0,-3.2749204358,-3.2761600877,-3.2761600877,-3.27554026175,0.0012396519000001938
169448209,CHClILi,[Li+].[CH-](Cl)I,182.3,1,0,0.0,4,8.0,-2.5029559365,-2.4986940803,-2.5029559365,-2.5008250083999997,0.004261856199999858
129678102,Br2IK,[K+].Br[I-]Br,325.81,1,0,0.0,4,6.0,-2.3298583382,-2.3310275735,-2.3310275735,-2.33044295585,0.0011692352999999045
22495153,C3H7Na,C[CH-]C.[Na+],66.08,1,0,0.0,4,3.2,-3.2254492015,-3.238700594,-3.238700594,-3.23207489775,0.013251392499999959
19607366,C2BrLi,[Li+].[C-]#CBr,110.9,1,0,0.0,4,32.5,-2.5369850131000002,-2.5353114559,-2.5369850131000002,-2.5361482345,0.0016735572000001753
21063311,H2KN3,NN=[N-].[K+],83.135,3,1,39.4,4,10.8,-2.8385952838999997,-2.8427588127,-2.8427588127,-2.8406770483,0.004163528800000371
153438311,B3Rb,[B][B-][B].[Rb+],117.9,1,0,0.0,4,3.2,-2.485889155,-2.4946615553,-2.4946615553,-2.49027535515,0.008772400299999816
139116698,BH5NNa,[BH3-]N.[Na+],52.85,2,1,26.0,3,4.8,-2.8679005033,-2.868740186,-2.868740186,-2.86832034465,0.0008396827000001217
168737035,CHLiO,[Li+].[CH][O-],36.0,1,0,23.1,3,4.8,-2.5563185098,-2.5587626292,-2.5587626292,-2.5575405695,0.002444119399999778
23685604,CH4LiNO,[Li+].CO[NH-],53.0,2,1,10.2,4,8.0,-2.9348432079999998,-2.9325721898,-2.9348432079999998,-2.9337076989,0.0022710181999996415
20820566,C2H2FLi,[Li+].C=[C-]F,52.0,2,0,0.0,4,13.5,-2.7589140200999998,-2.7587638872,-2.7589140200999998,-2.7588389536499998,0.00015013289999954438
160055680,C2H8BNa,[BH3-]CC.[Na+],65.89,1,0,0.0,4,6.0,-3.2708419481999997,-3.2695409661999997,-3.2708419481999997,-3.2701914571999997,0.0013009820000000616
23670958,CH2INaO,C([O-])I.[Na+],179.92,1,0,23.1,4,8.0,-2.6992117392,-2.7001463825000003,-2.7001463825000003,-2.6996790608500003,0.0009346433000003707
135048829,CH6BNaO,[BH3-]OC.[Na+],67.86,2,0,9.2,4,8.0,-3.088596912,-3.0841825519,-3.088596912,-3.0863897319499998,0.004414360099999737
21396528,C2H4FLi,[Li+].[CH2-]CF,54.0,2,0,0.0,4,6.0,-2.9450055924,-2.9421263602,-2.9450055924,-2.9435659763,0.0028792321999997483
23694843,BrCl2Rb,Cl[Br-]Cl.[Rb+],236.27,1,0,0.0,4,6.0,-2.3527202286,-2.3508826887,-2.3527202286,-2.35180145865,0.001837539899999907
13351304,CH2FLi,[Li+].[CH2-]F,40.0,2,0,0.0,3,4.8,-2.5894977575,-2.5889159608,-2.5894977575,-2.58920685915,0.0005817967000001367
160837484,C2FNa,[C-]#CF.[Na+],66.01,2,0,0.0,4,32.5,-2.5780987887999998,-2.5783080561999996,-2.5783080561999996,-2.5782034224999997,0.00020926739999982402
13351302,CH4LiN,[Li+].[CH2-]N,37.0,2,1,26.0,3,4.8,-2.8251884553,-2.8251819859,-2.8251884553,-2.8251852206,6.469400000153058e-06
59187066,CH3BrINa,C[Br-]I.[Na+],244.83,1,0,0.0,4,8.0,-2.6796038777,-2.6759588021000003,-2.6796038777,-2.6777813399,0.003645075599999714
23670955,CH2BrNaO,C([O-])Br.[Na+],132.92,1,0,23.1,4,8.0,-2.7116627095,-2.7125137335,-2.7125137335,-2.7120882215,0.0008510239999997005
161111143,BClH3Na,[BH3-]Cl.[Na+],72.28,1,0,0.0,3,4.8,-2.6127374866000004,-2.6123240309,-2.6127374866000004,-2.61253075875,0.000413455700000398
59894696,C2H6IK,C[I-]C.[K+],196.07,1,0,0.0,4,6.0,-3.0076440875999997,-3.0016879826,-3.0076440875999997,-3.0046660350999996,0.005956104999999656
23661847,C2H5LiO,[Li+].CC[O-],52.0,1,0,23.1,4,6.0,-3.0648618971,-3.0646732291000003,-3.0648618971,-3.0647675631,0.0001886679999998364
129678136,C2H6KN,CC[NH-].[K+],83.17,1,1,1.0,4,6.0,-3.1575808724,-3.1494880312999998,-3.1575808724,-3.1535344518499997,0.008092841100000303
140455213,ILiO,[Li+].[O-]I,149.9,1,0,23.1,3,4.8,-2.3527019269,-2.3536924838999997,-2.3536924838999997,-2.3531972054,0.0009905569999997255
22967321,FKO,[O-]F.[K+],74.096,2,0,23.1,3,4.8,-2.3645310413000002,-2.3857664259,-2.3857664259,-2.3751487336,0.02123538459999974
18727909,BF2Na,[B-](F)F.[Na+],71.8,3,0,0.0,4,6.0,-2.5327985087,-2.5309577307,-2.5327985087,-2.5318781197,0.0018407780000000429
11815407,CHBrClLi,[Li+].[CH-](Cl)Br,135.3,1,0,0.0,4,8.0,-2.5104584556000002,-2.509724597,-2.5104584556000002,-2.5100915263,0.0007338586000003033
58529206,CH3IKN,C([NH-])I.[K+],195.044,1,1,1.0,4,8.0,-2.8055078261,-2.8042766457,-2.8055078261,-2.8048922358999997,0.0012311804000000315
140659928,C2H6NNa,[CH2-]CN.[Na+],67.07,2,1,26.0,4,6.0,-3.1548837078000003,-3.1519759662,-3.1548837078000003,-3.153429837,0.002907741600000069
140440825,CH2FNaO,C([O-])F.[Na+],72.014,2,0,23.1,4,8.0,-2.7560247393,-2.7555378702,-2.7560247393,-2.75578130475,0.00048686909999995365
20829522,BI2K,[B][I-]I.[K+],303.72,1,0,0.0,4,6.0,-2.3770663844,-2.3654847463,-2.3770663844,-2.37127556535,0.011581638100000013
11378442,CKNO,C(#N)[O-].[K+],81.115,2,0,46.9,4,34.5,-2.6934441075,-2.6925884102,-2.6934441075,-2.69301625885,0.0008556973000000134
20587905,CBNNa,[B-]C#N.[Na+],59.82,2,0,23.8,4,34.5,-2.6266134276,-2.6168625593000003,-2.6266134276,-2.62173799345,0.009750868299999826
101754802,C2HKN-,C#C[N-].[K],78.13,1,0,1.0,4,29.3,-2.7530419759,-2.7492861208,-2.7530419759,-2.7511640483499997,0.003755855100000094
157489353,C2HLiO,[Li+].C#C[O-],48.0,1,0,23.1,4,32.5,-2.7486625278,-2.7476001115999997,-2.7486625278,-2.7481313196999997,0.00106241620000036
58841526,CH3FINa,C[I-]F.[Na+],183.927,2,0,0.0,4,8.0,-2.7292121423999998,-2.7315581865,-2.7315581865,-2.73038516445,0.0023460441000002774
71417853,C2H2FNa,[CH-]=CF.[Na+],68.03,2,0,0.0,4,13.5,-2.7644386710999997,-2.7648102194,-2.7648102194,-2.76462444525,0.0003715483000004127
59091021,BH2O2Rb,[B-](O)O.[Rb+],130.3,3,2,40.5,4,6.0,-2.7821422277,-2.7797664976,-2.7821422277,-2.78095436265,0.0023757301000002506
59951885,CH2ORb,[CH2-][O].[Rb+],115.494,1,0,1.0,3,4.8,-2.6475055899,-2.6442893862,-2.6475055899,-2.64589748805,0.0032162037000000865
166048945,BNaO,[B-]=O.[Na+],49.8,2,0,17.1,3,4.8,-2.5328187434,-2.4759343735,-2.5328187434,-2.5043765584499997,0.05688436990000012
171457097,H2NNaO2,[N-](O)O.[Na+],71.011,3,2,41.5,4,6.0,-2.7231306018,-2.7259015731,-2.7259015731,-2.7245160874499996,0.0027709712999999248
140678060,C2H5KO,[CH2-]CO.[K+],84.16,2,1,20.2,4,6.0,-3.0480244611000002,-3.0453495666999997,-3.0480244611000002,-3.0466870138999997,0.0026748944000005714
59815174,F2KN,[N-](F)F.[K+],91.102,3,0,1.0,4,6.0,-2.4628399063,-2.4626912279999997,-2.4628399063,-2.46276556715,0.0001486783000004266
71352770,C2H2ClLi,[Li+].C=[C-]Cl,68.5,1,0,0.0,4,13.5,-2.7270382052000004,-2.7261718014,-2.7270382052000004,-2.7266050033000004,0.0008664038000003593
71335495,C2H3LiO,[Li+].C=[C-]O,50.0,2,1,20.2,4,13.5,-2.8910330171,-2.8925992177,-2.8925992177,-2.8918161174,0.0015662006000001227
22944142,CHNaO,[CH-]=O.[Na+],52.008,2,0,17.1,3,4.8,-2.557667017,-2.5622407350999996,-2.5622407350999996,-2.55995387605,0.004573718099999624
23517219,CBKO,[B][C-]=O.[K+],77.92,2,0,17.1,4,15.5,-2.5892824904999996,-2.5908642532,-2.5908642532,-2.59007337185,0.001581762700000322
14925096,C2ILi,[Li+].[C-]#CI,157.9,1,0,0.0,4,32.5,-2.5307502664,-2.5318368435,-2.5318368435,-2.53129355495,0.0010865770999997082
109374094,Cl3Na,[Na+].Cl[Cl-]Cl,129.34,1,0,0.0,4,3.2,-2.3538329555,-2.353075696,-2.3538329555,-2.35345432575,0.0007572595000002735
129694264,CH3LiN2,[Li+].C=N[NH-],50.0,2,1,13.4,4,13.5,-2.9038952225,-2.9040717505,-2.9040717505,-2.9039834865,0.0001765279999998981
21526826,HKO2,O[O-].[K+],72.105,2,1,43.3,3,2.8,-2.5034810673,-2.5032763858,-2.5034810673,-2.5033787265500003,0.00020468150000008123
101558437,CH2NNaO,C(=N)[O-].[Na+],67.023,2,1,46.9,4,15.5,-2.8375691583000004,-2.8375851954,-2.8375851954,-2.83757717685,1.6037099999532956e-05
140553376,CH2NNaO,C(=O)[NH-].[Na+],67.023,2,1,18.1,4,15.5,-2.8376412438,-2.8378567113,-2.8378567113,-2.83774897755,0.00021546750000034365
123308,BLiO2,[Li+].B(=O)[O-],49.8,2,0,40.1,4,13.5,-2.6670770204000003,-2.6668185211,-2.6670770204000003,-2.6669477707500002,0.00025849930000010346
129737715,C2H2ILi,[Li+].C=[C-]I,159.9,1,0,0.0,4,13.5,-2.7051542385,-2.7033302762,-2.7051542385,-2.70424225735,0.0018239623000000371
23697866,Br2ClNa,[Na+].[Cl-](Br)Br,218.25,1,0,0.0,4,6.0,-2.342713589,-2.3366783204,-2.342713589,-2.3396959547,0.006035268600000254
20744931,C2H3LiO,[Li+].[CH2-]C=O,50.0,2,0,17.1,4,13.5,-2.9112872141,-2.9100065051,-2.9112872141,-2.9106468596,0.001280708999999991
20745101,C2H4FLi,[Li+].C[CH-]F,54.0,2,0,0.0,4,6.0,-2.9065006913,-2.9054952281,-2.9065006913,-2.9059979597,0.0010054632000002783
161759608,HLiN2,[Li+].N=[N-],36.0,2,1,24.9,3,2.8,-2.5792195985,-2.5805538314,-2.5805538314,-2.5798867149499998,0.0013342329000001207
57823227,C2H3K,[CH2-][CH].[K+],66.14,1,0,0.0,3,2.8,-2.750192084,-2.7481250125,-2.750192084,-2.74915854825,0.0020670714999999618
129657746,C2H4LiN,[Li+].C1[CH-]N1,49.0,2,1,21.9,4,15.5,-2.9678048660000003,-2.968361179,-2.968361179,-2.9680830225,0.0005563129999996974
23686678,Br2ClRb,Cl[Br-]Br.[Rb+],280.73,1,0,0.0,4,6.0,-2.342958856,-2.3430704726,-2.3430704726,-2.3430146643,0.00011161659999991969
12607731,C2ClLi,[Li+].[C-]#CCl,66.4,1,0,0.0,4,32.5,-2.5514425689,-2.5563571632,-2.5563571632,-2.55389986605,0.004914594299999742
10986147,C3H5Li,[Li+].[CH2-]C=C,48.0,1,0,0.0,4,10.8,-3.08493475,-3.0853583589999998,-3.0853583589999998,-3.0851465544999996,0.00042360899999982493
129657214,CH2LiN,[Li+].[CH-]=N,35.0,2,1,23.9,3,4.8,-2.6535766367999996,-2.65479758,-2.65479758,-2.6541871083999995,0.001220943200000324
59780101,BIK,[B-]I.[K+],176.82,1,0,0.0,3,4.8,-2.3061369307,-2.3084109181,-2.3084109181,-2.3072739244,0.002273987399999733
22960788,CH3NaO2,CO[O-].[Na+],70.023,2,0,32.3,4,6.0,-2.8260873073,-2.8230997957,-2.8260873073,-2.8245935515,0.0029875115999997703
