seed,RMSE,MAE,R2
42,0.13386189937591553,0.09889920800924301,0.675999641418457
123,0.13202743232250214,0.0972568467259407,0.4748465418815613
456,0.13359445333480835,0.08779945969581604,0.46639323234558105
