seed,fold,RMSE,MAE,R2
42,0,0.18167464435100555,0.1432054042816162,0.403211772441864
42,1,0.18453086912631989,0.14655542373657227,0.38429927825927734
42,2,0.17778755724430084,0.13447189331054688,0.42847615480422974
42,3,0.19722776114940643,0.15574631094932556,0.29665613174438477
42,4,0.18877701461315155,0.14346611499786377,0.3556380867958069
123,0,0.16166605055332184,0.13178788125514984,0.2125997543334961
123,1,0.15515974164009094,0.12613177299499512,0.27470284700393677
123,2,0.17198924720287323,0.1405271589756012,0.10883015394210815
123,3,0.17270775139331818,0.14153486490249634,0.10136866569519043
123,4,0.16343702375888824,0.12972542643547058,0.19525408744812012
456,0,0.1787620186805725,0.1433979570865631,0.04457855224609375
456,1,0.1791529804468155,0.1522388756275177,0.04039496183395386
456,2,0.18867528438568115,0.15437883138656616,-0.06432557106018066
456,3,0.18620625138282776,0.15826331079006195,-0.03665196895599365
456,4,0.1866505742073059,0.15994277596473694,-0.041605234146118164
