seed,fold,RMSE,MAE,R2
42,0,0.1322973072528839,0.10129574686288834,0.683529257774353
42,1,0.11683140695095062,0.10401177406311035,0.7531967759132385
42,2,0.1270502656698227,0.10188926756381989,0.7081345319747925
42,3,0.10913684219121933,0.08456077426671982,0.7846353650093079
42,4,0.11941664665937424,0.09212644398212433,0.7421534657478333
123,0,0.13461661338806152,0.10782929509878159,0.4540470838546753
123,1,0.11871027946472168,0.09909544885158539,0.5754444599151611
123,2,0.11473432183265686,0.08933988213539124,0.6034073829650879
123,3,0.1299150586128235,0.1030287817120552,0.49151647090911865
123,4,0.13515199720859528,0.10748578608036041,0.44969576597213745
456,0,0.13336431980133057,0.10026513040065765,0.46823012828826904
456,1,0.14796806871891022,0.1161351278424263,0.3453933000564575
456,2,0.13348443806171417,0.10774848610162735,0.46727174520492554
456,3,0.17463545501232147,0.14199283719062805,0.08817964792251587
456,4,0.14142827689647675,0.10654054582118988,0.4019783139228821
