seed,best_alpha,val_rmse,RMSE,MAE,R2
42,0.01,0.12808434405416166,0.13227311164410716,0.10576573014259338,0.6836450099945068
123,0.01,0.16176798504088233,0.11539866971465239,0.08599968999624252,0.59880131483078
456,0.01,0.11286735971416148,0.10665920186589381,0.07432372868061066,0.6598730087280273
